Sr. No.,Lease Name,Area,Document Name,condition_type,shortened_condition_text,condition_text,Evidence,clause_number,Priority,AI Validated,Location,Type,Assigned by,Assigned to,Progress Status,create date,deadline date,completion date,approved date,validation date,closure date
1,Topailore,14.16,EC,Specific,Obtain all legal rights to operate,That this project has- a. Obtained all legal rights to operate at concerned place. b. Complied with all existing concerned laws of the land and c. Complied with the decisions of SEIAA on the issue of Environmental Clearance till date.,pdf,1,4,0,Gua,Iron Ore Mine,Shreyas,test_user,Evidence Pending,8/10/2025,8/10/2025,9/15/2025,,12/31/2027,12/31/2027
2,Topailore,14.16,EC,Specific,Comply with all existing concerned laws of land,That this project has- a. Obtained all legal rights to operate at concerned place. b. Complied with all existing concerned laws of the land and c. Complied with the decisions of SEIAA on the issue of Environmental Clearance till date.,pdf,1,4,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,12/8/2024,12/8/2024,1/4/2025,1/5/2025,1/5/2025,1/5/2025
3,Topailore,14.16,EC,Specific,Comply with SEIAA decisions on EC,That this project has- a. Obtained all legal rights to operate at concerned place. b. Complied with all existing concerned laws of the land and c. Complied with the decisions of SEIAA on the issue of Environmental Clearance till date.,pdf,1,4,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,10/23/2024,10/23/2024,11/13/2024,,12/31/2027,12/31/2027
4,Topailore,14.16,EC,Specific,EC subject to renewal of mining lease as per rule 24A,The Environmental Clearance is subject to renewal of mining lease as per rule 24A of mineral concession Rule 1960 and all other Statutory Conditions as imposed by various agencies / District Authorities are complied with.,pdf,2,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,9/20/2024,9/20/2024,10/2/2024,10/4/2024,10/4/2024,10/4/2024
5,Topailore,14.16,EC,Specific,Comply with all other Statutory Conditions,The Environmental Clearance is subject to renewal of mining lease as per rule 24A of mineral concession Rule 1960 and all other Statutory Conditions as imposed by various agencies / District Authorities are complied with.,pdf,2,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,4/12/2024,4/12/2024,4/21/2024,4/23/2024,4/23/2024,4/23/2024
6,Topailore,14.16,EC,Specific,Submit site map to JSPCB & SEIAA when obtaining CTE/CTO,"At the time of obtaining Consent to establish/ Consent to Operate, PP should submit site map duly signed by PP and DMO to JSPCB & SEIAA.","pdf,kml",3,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,9/12/2024,9/12/2024,10/6/2024,10/7/2024,10/7/2024,10/7/2024
7,Topailore,14.16,EC,Specific,Construct pillars to demarcate mining lease boundary,"At the time of obtaining consent to operate, PP will erect boundary pillars to demarcate boundary of lease. GPS reading, backward – forward bearing & pillar to pillar distance is to written on each pillar. Pillar wise list will be submitted to SEIAA and JSPCB before issue of Consent to Establish/ Consent to Operate.","image,kml",4,3,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,12/25/2024,12/25/2024,1/13/2025,,12/31/2027,12/31/2027
8,Topailore,14.16,EC,Specific,Inscribe GPS reading and bearing details on each pillar,"At the time of obtaining consent to operate, PP will erect boundary pillars to demarcate boundary of lease. GPS reading, backward – forward bearing & pillar to pillar distance is to written on each pillar. Pillar wise list will be submitted to SEIAA and JSPCB before issue of Consent to Establish/ Consent to Operate.",image,4,1,0,Gua,Iron Ore Mine,Ankit,Vinay,Approval Pending,4/30/2025,4/30/2025,5/29/2025,,12/31/2027,12/31/2027
9,Topailore,14.16,EC,Specific,Inscribe RCC pillar's forward and back bearing  on it.,"At the time of obtaining consent to operate, PP will erect boundary pillars to demarcate boundary of lease. GPS reading, backward – forward bearing & pillar to pillar distance is to written on each pillar. Pillar wise list will be submitted to SEIAA and JSPCB before issue of Consent to Establish/ Consent to Operate.",image,4,1,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,4/20/2024,4/20/2024,5/2/2024,5/4/2024,5/4/2024,5/4/2024
10,Topailore,14.16,EC,Specific,Submit pillar-wise list to SEIAA and JSPCB before CTE/CTO issue,"At the time of obtaining consent to operate, PP will erect boundary pillars to demarcate boundary of lease. GPS reading, backward – forward bearing & pillar to pillar distance is to written on each pillar. Pillar wise list will be submitted to SEIAA and JSPCB before issue of Consent to Establish/ Consent to Operate.",pdf,4,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,5/3/2024,5/3/2024,5/28/2024,5/30/2024,5/30/2024,5/30/2024
